variant_id,stop_id
851929,2899
851929,55
851929,5440
851929,2274
851929,2304
851929,3415
851929,2828
851929,707
851929,603
851929,4892
851929,1330
851929,3517
851929,508
851929,5456
851929,3514
851929,2861
851929,1149
851929,5274
852296,509
852296,3526
852622,553
852622,4894
852622,5123
852622,3517
852622,480
852622,3894
852665,638
852830,3134
852830,481
852830,3891
852830,5625
852962,2899
852962,3422
853461,5475
853461,179
853476,812
853476,3861
853476,4458
853476,4115
853476,4709
853476,4481
853476,4678
853476,4461
853476,4746
853596,5608
853596,5561
853596,4248
853598,5608
853598,895
853605,5608
853605,2251
853605,895
853612,5608
853612,2251
853612,895
853612,3976
853612,3972
853634,1782
853634,638
853634,3124
853634,5599
853638,1782
853638,638
853638,3124
853638,5599
853638,4908
853877,2276
853877,3415
854085,5692
854497,1782
854497,638
854497,3124
854497,5599
854497,46
854641,665
854695,3415
854695,2828
854695,707
854695,606
854695,603
854695,1900
854695,4892
854695,2029
854695,1313
854695,637
854695,668
854725,1160
854752,5274
854752,1759
854752,211
854752,240
854790,1151
854790,305
854790,3891
854946,864
855219,2528
855219,2036
855219,353
855219,4284
855219,4286
855219,4291
855219,4301
855219,4276
855219,4275
855380,648
855380,5579
855380,212
855380,5296
855380,271
855498,3422
855581,642
855581,636
855581,1312
855581,1176
855581,4893
855581,1901
855581,604
855581,605
855581,708
855581,711
855581,3421
855582,3415
855582,2828
855582,707
855582,606
855582,603
855582,1900
855582,4892
855582,1289
855582,2029
855582,1313
855582,637
855582,668
855582,2172
855582,675
855793,5445
855793,2528
855793,481
855793,5457
855793,509
855793,3526
855793,546
855793,4895
855793,554
855795,2855
855892,5700
855892,5220
856137,148
856137,5609
856138,5608
856138,72
856138,1125
856138,4804
856138,114
856139,5608
856139,149
856149,148
856149,5609
856150,148
856150,5609
856154,153
856154,148
856155,153
856155,148
856155,5609
856156,153
856156,148
856156,5609
856158,115
856158,4803
856158,981
856158,2482
856158,73
856158,5609
856168,5608
856168,149
856168,153
856402,3976
856402,3972
856825,5462
856825,2855
856848,5218
856848,5221
856848,5705
856848,5692
856885,3598
856885,5627
856885,2506
856885,3415
857431,5681
857431,4125
857431,5689
857431,5716
857431,3514
857431,3519
857509,1149
857509,5274
857510,2861
857510,1149
857510,5274
857528,642
857528,636
857528,1312
857528,1176
857528,4893
857528,1901
857528,604
857528,605
857528,708
857528,711
857528,3421
857538,2172
857538,675
857538,5108
857613,864
857613,3901
857856,812
857856,3861
857856,4458
857856,4115
857856,4459
857856,4746
857886,5608
857887,1015
857887,5609
857893,148
857893,5609
857893,4144
857894,115
857894,4803
857894,981
857894,2482
857894,73
857894,5609
857895,5609
857896,1015
857957,5109
857957,5110
857957,686
857957,3123
857957,636
858689,5608
858689,149
858689,912
858690,2714
858690,5608
858690,149
858690,912
858692,115
858692,4803
858692,981
858692,2482
858692,73
858733,576
858733,2880
858733,565
858733,551
858733,607
858759,638
858759,3124
858759,687
858759,2056
858759,5110
858835,4125
858835,5716
858835,3514
858835,3519
858930,637
858930,5579
858930,212
858930,195
858930,179
858931,180
858931,1142
858931,5582
858931,638
859007,3415
859007,2828
859007,707
859007,606
859007,603
859007,1900
859007,4892
859007,1289
859007,2029
859007,1313
859007,637
859007,668
859007,2172
859007,675
859064,665
859084,5296
859084,271
859084,281
859084,3782
859084,5571
859095,3415
859095,2828
859095,707
859095,606
859095,603
