variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
851929,1,,,
852296,0,865602,,
852622,1,,,
852665,0,,,
852830,0,,,
852962,0,,,
853461,1,,,
853476,0,,,
853596,1,,,
853598,1,,,
853605,0,,,
853612,0,,,
853634,0,,,
853638,0,,,
853877,1,,,
854085,0,865602,,
854497,0,,,
854611,0,862954,,
854641,0,865602,,
854695,0,865602,,
854725,0,862954,,
854752,0,,,
854790,0,862954,,
854795,0,,,
854946,0,865602,,
854958,0,,,
855219,1,,,
855334,0,865602,,
855380,0,862954,,
855498,0,,,
855581,1,,,
855582,1,,,
855793,0,,,
855794,0,,,
855795,0,865602,,
855892,0,,,
856137,1,,,
856138,1,,,
856139,1,,,
856149,0,,,
856150,0,,,
856154,0,,,
856155,0,,,
856156,0,,,
856158,0,,,
856168,0,,,
856402,0,,,
856825,0,865602,,
856848,0,,,
856885,1,,,
857431,0,,,
857509,0,,,
857510,0,,,
857519,0,,,
857528,0,862954,,
857538,0,862954,,
857613,0,865602,,
857856,1,,,
857886,1,,,
857887,1,,,
857893,0,,,
857894,0,,,
857895,0,,,
857896,0,,,
857957,1,,,
858689,0,,,
858690,0,,,
858691,0,,,
858692,0,,,
858694,0,,,
858733,1,,,
858759,0,,,
858835,1,,,
858930,0,862954,,
858931,0,865602,,
859007,1,,,
859064,0,865602,,
859084,0,862954,,
859095,0,865602,,
859188,0,865602,,
859266,1,,,
859359,0,862954,,
859373,0,862954,,
859374,0,,,
859376,0,,,
859406,1,,,
859667,0,862954,,
859825,1,,,
859864,0,862954,,
859867,0,862954,,
859889,0,862954,,
859890,0,865602,,
859904,0,862954,,
859906,0,862954,,
859907,0,862954,,
859948,0,,,
859956,0,,,
859964,0,862954,,
860007,0,,,
860082,0,865602,,
860512,0,,,
860513,0,,,
860514,0,,,
860648,1,,,
860649,1,,,
860714,0,865602,,
860718,0,865602,,
860720,0,862954,,
860721,0,862954,,
860746,0,862954,,
860768,0,,,
860769,0,865602,,
860770,0,862954,,
860811,0,865602,,
860812,0,862954,,
860878,0,,,
860891,0,,,
860906,0,865602,,
860907,0,862954,,
860909,0,865602,,
861065,0,865602,,
861158,0,865602,,
861218,0,862954,,
861252,1,,,
861264,1,,,
861327,0,862954,,
861353,0,862954,,
861354,0,,,
861357,0,865602,,
861361,0,865602,,
861364,0,,,
861365,0,,,
861366,0,862954,,
861367,0,862954,,
861398,0,862954,,
861399,0,865602,,
861410,0,865602,,
861436,0,865602,,
861533,1,,,
861547,1,,,
861557,1,,,
861559,1,,,
861561,1,,,
